861             800          
19.000000     25.000000     0.500000       
19.000000     26.000000     0.520000       
19.000000     27.000000     0.540000       
19.000000     28.000000     0.560000       
19.000000     29.000000     0.580000       
19.000000     30.000000     0.600000       
19.000000     31.000000     0.620000       
19.000000     32.000000     0.640000       
19.000000     33.000000     0.660000       
19.000000     34.000000     0.680000       
19.000000     35.000000     0.700000       
19.000000     36.000000     0.720000       
19.000000     37.000000     0.740000       
19.000000     38.000000     0.760000       
19.000000     39.000000     0.780000       
19.000000     40.000000     0.800000       
20.000000     0.000000      0.000000       
20.000000     1.000000      0.020000       
20.000000     2.000000      0.040000       
20.000000     3.000000      0.060000       
20.000000     4.000000      0.080000       
20.000000     5.000000      0.100000       
20.000000     6.000000      0.120000       
20.000000     7.000000      0.140000       
20.000000     8.000000      0.160000       
20.000000     9.000000      0.180000       
20.000000     10.000000     0.200000       
20.000000     11.000000     0.220000       
20.000000     12.000000     0.240000       
20.000000     13.000000     0.260000       
20.000000     14.000000     0.280000       
20.000000     15.000000     0.300000       
20.000000     16.000000     0.320000       
20.000000     17.000000     0.340000       
20.000000     18.000000     0.360000       
20.000000     19.000000     0.380000       
20.000000     20.000000     0.400000       
20.000000     21.000000     0.420000       
20.000000     22.000000     0.440000       
20.000000     23.000000     0.460000       
20.000000     24.000000     0.480000       
20.000000     25.000000     0.500000       
20.000000     26.000000     0.520000       
20.000000     27.000000     0.540000       
20.000000     28.000000     0.560000       
20.000000     29.000000     0.580000       
20.000000     30.000000     0.600000       
20.000000     31.000000     0.620000       
20.000000     32.000000     0.640000       
20.000000     33.000000     0.660000       
20.000000     34.000000     0.680000       
20.000000     35.000000     0.700000       
20.000000     36.000000     0.720000       
20.000000     37.000000     0.740000       
20.000000     38.000000     0.760000       
20.000000     39.000000     0.780000       
20.000000     40.000000     0.800000       
