       flux1               flux2            flux3               flux4 
     -0.11067152E-01     0.82864639E-18     0.50029061E-04    -0.82864639E-18
     -0.11074753E-01     0.59901653E-18     0.47485801E-04    -0.59901653E-18
     -0.11081030E-01     0.67752585E-18     0.45109213E-04    -0.67752585E-18
     -0.11086216E-01     0.70855354E-18     0.42886733E-04    -0.70855354E-18
     -0.11090502E-01     0.63694117E-18     0.40806787E-04    -0.63694117E-18
     -0.11094045E-01     0.68992595E-18     0.38858713E-04    -0.68992595E-18
     -0.11096976E-01     0.70355028E-18    -0.97179788E-05    -0.70355028E-18
     -0.11099400E-01     0.67921476E-18    -0.78861027E-04    -0.67921476E-18
     -0.11101406E-01     0.60342155E-18    -0.76333616E-04    -0.60342155E-18
     -0.11103067E-01     0.75431393E-18    -0.73826096E-04    -0.75431393E-18
     -0.11104442E-01     0.66883039E-18    -0.71352400E-04    -0.66883039E-18
     -0.11105581E-01     0.74651943E-18    -0.68923407E-04    -0.74651943E-18
     -0.11106524E-01     0.66967325E-18    -0.66547505E-04    -0.66967325E-18
     -0.11107306E-01     0.50747165E-18    -0.64231018E-04    -0.50747165E-18
     -0.11107954E-01     0.61360030E-18    -0.61487980E-04    -0.61360030E-18
     -0.11108491E-01     0.75415331E-18    -0.54658247E-04    -0.75415331E-18
     -0.11108937E-01     0.78829103E-18    -0.49603195E-04    -0.78829103E-18
     -0.11109306E-01     0.73621852E-18    -0.45638351E-04    -0.73621852E-18
     -0.11109613E-01     0.70820178E-18    -0.42289837E-04    -0.70820178E-18
     -0.11109867E-01     0.74380656E-18    -0.39379971E-04    -0.74380656E-18
     -0.11110078E-01     0.63740098E-18    -0.36810251E-04    -0.63740098E-18
     -0.11110253E-01     0.76328619E-18    -0.34516481E-04    -0.76328619E-18
